,country,code,indicator,indicator_code,year,gdp
104,Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1960,
105,IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1960,26714705069.0
106,Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
107,India,IND,GDP (current US$),NY.GDP.MKTP.CD,1960,37029883875.0
108,Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,1960,
109,Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1960,1939329775.0
110,"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1960,4199134390.0
111,Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1960,1684121535.0
112,Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1960,248434097.0
113,Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1960,2598500000.0
114,Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1960,40385288344.0
115,Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1960,699050679.0
116,Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,1960,
117,Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1960,44307342950.0
118,Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
119,Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1960,791265458.8
120,Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
121,Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1960,637142865.7
122,Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1960,
123,St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1960,12366563.61
124,"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1960,3958190759.0
125,Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,1960,
126,Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,1960,73153738157.0
127,Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,1960,
128,Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,1960,
129,Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,1960,
130,Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,1960,
131,St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1960,
132,Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,1960,81652434337.0
133,Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1960,
134,Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,1960,
135,Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,1960,
136,Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1960,1409873950.0
137,Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,1960,88588119459.0
138,Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,1960,325104000000.0
139,Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1960,34579308.41
140,Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,1960,183150000000.0
141,Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,1960,
142,Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1960,703925705.9
143,Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,1960,
144,"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,1960,
145,St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,1960,
146,Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1960,2037150716.0
147,Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,1960,
148,Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,1960,
149,Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1960,673081724.1
150,Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,1960,
151,Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,1960,
152,Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1960,13040000000.0
153,Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,1960,
154,Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,1960,312135000000.0
155,North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,1960,
156,Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,1960,
157,Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,1960,
158,Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,1960,
159,Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1960,
160,Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,1960,
161,Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,1960,
162,Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,1960,
163,Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
164,Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1960,
165,Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,1960,
166,Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,1960,162956740.9
167,Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1960,1916241997.0
168,North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,1960,583846000000.0
169,Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,1960,
170,New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,1960,
171,Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1960,449526872.6
172,Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1960,4196092258.0
173,Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1960,223854666.7
174,Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1960,12276734172.0
175,Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1960,5163271598.0
176,Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1960,508334414.0
177,Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,1960,
178,New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1960,5485854792.0
179,OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,1960,1073360000000.0
180,Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
181,Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,1960,
182,Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1960,3749265015.0
183,Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1960,537147100.0
184,Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,1960,2571908062.0
185,Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1960,6684568805.0
186,Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,1960,
187,Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1960,230496033.0
188,Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1960,
189,Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1960,11230032675.0
190,Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1960,1691900000.0
191,"Korea, Dem. People’s Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,1960,
192,Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1960,3193200404.0
193,Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,1960,
194,West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,1960,
195,Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,1960,
196,Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,1960,1042320000000.0
197,French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,1960,
198,Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1960,
199,Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,1960,
200,Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1960,
201,Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1960,119000024.0
202,South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,1960,47172093787.0
203,Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,1960,
204,Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1960,1307333333.0
205,Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1960,1003692375.0
206,Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1960,704756304.7
207,Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1960,
208,Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1960,322009471.6
209,El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,1960,
210,San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1960,
211,Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1960,180459936.8
212,Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,1960,
213,Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1960,29778322464.0
214,South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,1960,
215,Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1960,29929114038.0
216,Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,1960,
217,Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,1960,
218,Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1960,99650000.0
219,Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,1960,
220,Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,1960,
221,Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1960,15822585034.0
222,Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1960,35076158.48
223,Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1960,
224,Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1960,12012025.25
225,Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1960,857704431.7
226,Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,1960,
227,Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1960,313582727.6
228,East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1960,80085220065.0
229,Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,1960,
230,Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1960,121128073.1
231,Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1960,2760747472.0
232,Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,1960,
233,Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,1960,
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,1960,76704221426.0
235,Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,1960,
236,Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
237,Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,1960,
238,South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,1960,47172093787.0
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1960,29929114038.0
240,Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1960,535670127.7
241,Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,1960,
242,Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,1960,13995067818.0
243,Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,1960,
244,Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,1960,
245,Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1960,423008385.7
246,Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,1960,
247,Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,1960,223789000000.0
248,Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1960,1242289239.0
249,United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1960,543300000000.0
250,Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1960,
251,St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1960,13066557.78
252,"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1960,7779090909.0
253,British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,1960,
254,Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,1960,
255,Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,1960,
256,Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,1960,
257,World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1960,1369430000000.0
258,Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,1960,
259,Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,1960,
260,"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,1960,
261,South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1960,7575396973.0
262,Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1960,713000000.0
263,Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1960,1052990400.0
264,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1961,
265,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1961,548888895.6
266,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1961,
267,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1961,
268,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1961,
269,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1961,
270,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1961,
271,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1961,
272,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1961,
273,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1961,
274,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1961,
275,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1961,19652816665.0
276,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1961,7311749633.0
277,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1961,
278,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1961,202999992.0
279,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1961,12400145222.0
280,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1961,235668222.4
281,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1961,350247237.1
282,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1961,4817580184.0
283,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1961,
284,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1961,
285,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1961,190098039.2
286,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1961,
287,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1961,
288,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1961,29964370.71
289,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1961,89249986.7
290,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1961,406684585.7
291,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1961,15236854859.0
292,Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1961,
293,Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1961,
294,Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1961,
295,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1961,32902336.64
296,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1961,123134584.5
297,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1961,40934952064.0
298,Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1961,
299,Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1961,10712712465.0
300,Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1961,
301,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1961,4609727273.0
302,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1961,50056868958.0
303,Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1961,618245639.2
304,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1961,657597382.8
305,"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1961,3086746857.0
306,"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1961,151675739.2
307,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1961,4540447761.0
308,Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1961,
309,Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1961,
310,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1961,490325181.6
311,Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1961,2038301739.0
312,Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1961,
313,Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1961,
314,Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1961,
315,Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1961,
316,Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,1961,
317,Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1961,
318,Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1961,
319,Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1961,
320,Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1961,
321,Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1961,654100200.0
322,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1961,
323,East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1961,70445726828.0
324,Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1961,152833000000.0
325,East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1961,153706000000.0
